Target,Mode,Run,Accuracy_All,Accuracy_Monomer,TN_pct_All,FP_pct_All,FN_pct_All,TP_pct_All,TN_pct_Monomer,FP_pct_Monomer,FN_pct_Monomer,TP_pct_Monomer,N_test_All,N_test_Monomer,Std_All,Std_Monomer,TN_pct_All_std,FP_pct_All_std,FN_pct_All_std,TP_pct_All_std,TN_pct_Monomer_std,FP_pct_Monomer_std,FN_pct_Monomer_std,TP_pct_Monomer_std
Mutagenic,Original,49,61.53846153846154,100.0,,,,,,,,,182.0,8.0,,,,,,,,,,
Mutagenic,Original,50,62.637362637362635,55.55555555555556,,,,,,,,,182.0,9.0,,,,,,,,,,
Mutagenic,Original,Summary,64.71428571428571,67.48552313699372,,,,,,,,,,,2.42578528461849,13.925952618176435,,,,,,,,
Mutagenic,Binary (2 vs others),1,86.81318681318682,92.3076923076923,84.06593406593407,1.098901098901099,12.087912087912088,2.7472527472527473,92.3076923076923,0.0,7.6923076923076925,0.0,182.0,13.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),2,86.81318681318682,85.71428571428571,82.96703296703298,2.197802197802198,10.989010989010989,3.8461538461538463,85.71428571428571,0.0,14.285714285714285,0.0,182.0,14.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),3,86.81318681318682,92.3076923076923,83.51648351648352,1.6483516483516485,11.538461538461538,3.296703296703297,92.3076923076923,0.0,7.6923076923076925,0.0,182.0,13.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),4,85.71428571428571,100.0,82.41758241758241,2.7472527472527473,11.538461538461538,3.296703296703297,100.0,0.0,0.0,0.0,182.0,6.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),5,84.06593406593407,81.81818181818183,82.41758241758241,2.7472527472527473,13.186813186813188,1.6483516483516485,81.81818181818183,0.0,18.181818181818183,0.0,182.0,11.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),6,87.91208791208791,85.71428571428571,83.51648351648352,1.6483516483516485,10.43956043956044,4.395604395604396,85.71428571428571,0.0,14.285714285714285,0.0,182.0,14.0,,,,,,,,,,
Mutagenic,Binary (2 vs others),7,86.26373626373626,81.25,83.51648351648352,1.6483516483516485,12.087912087912088,2.7472527472527473,81.25,0.0,18.75,0.0,182.0,16.0,,,,,,,,,,
