Target,Mode,Run,Function,N_test_in_function,Correct_in_function,Accuracy_in_function,TN_in_function,FP_in_function,FN_in_function,TP_in_function
Mutagenic,Binary (2 vs others),19,Antioxidant,22,19,86.36363636363636,19.0,2.0,1.0,0.0
Mutagenic,Binary (2 vs others),19,Biocide,30,24,80.0,24.0,0.0,6.0,0.0
Mutagenic,Binary (2 vs others),19,Heat_stabilizer,7,7,100.0,7.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Lubricant,27,21,77.77777777777779,21.0,1.0,5.0,0.0
Mutagenic,Binary (2 vs others),19,Colorant,59,52,88.13559322033898,51.0,0.0,7.0,1.0
Mutagenic,Binary (2 vs others),19,Filler,29,25,86.20689655172413,25.0,0.0,4.0,0.0
Mutagenic,Binary (2 vs others),19,Other_Processing_Aids,58,49,84.48275862068965,48.0,2.0,7.0,1.0
Mutagenic,Binary (2 vs others),19,Intermediate,34,29,85.29411764705883,28.0,0.0,5.0,1.0
Mutagenic,Binary (2 vs others),19,Monomer,19,18,94.73684210526315,18.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),19,Catalyst,18,16,88.88888888888889,14.0,0.0,2.0,2.0
Mutagenic,Binary (2 vs others),19,Crosslinking_agent,20,20,100.0,18.0,0.0,0.0,2.0
Mutagenic,Binary (2 vs others),19,NIAS,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Initiator,9,9,100.0,7.0,0.0,0.0,2.0
Mutagenic,Binary (2 vs others),19,Blowing_agent,2,2,100.0,2.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Flame_retardant,5,5,100.0,5.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Light_stabilizer,14,12,85.71428571428571,12.0,2.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Viscosity_modifier,3,1,33.33333333333333,1.0,1.0,1.0,0.0
Mutagenic,Binary (2 vs others),19,Antistatic_agent,4,4,100.0,4.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Solvent,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Impact_modifier,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),20,Colorant,65,57,87.6923076923077,54.0,1.0,7.0,3.0
Mutagenic,Binary (2 vs others),20,Other_Processing_Aids,59,50,84.7457627118644,47.0,2.0,7.0,3.0
Mutagenic,Binary (2 vs others),20,Antioxidant,17,16,94.11764705882352,14.0,0.0,1.0,2.0
Mutagenic,Binary (2 vs others),20,Plasticizer,19,15,78.94736842105263,14.0,1.0,3.0,1.0
Mutagenic,Binary (2 vs others),20,Intermediate,39,34,87.17948717948718,33.0,0.0,5.0,1.0
Mutagenic,Binary (2 vs others),20,Lubricant,29,26,89.65517241379311,24.0,0.0,3.0,2.0
Mutagenic,Binary (2 vs others),20,Catalyst,23,19,82.6086956521739,17.0,1.0,3.0,2.0
Mutagenic,Binary (2 vs others),20,Filler,36,31,86.11111111111111,28.0,1.0,4.0,3.0
Mutagenic,Binary (2 vs others),20,Crosslinking_agent,20,18,90.0,15.0,1.0,1.0,3.0
Mutagenic,Binary (2 vs others),20,Initiator,9,8,88.88888888888889,7.0,1.0,0.0,1.0
Mutagenic,Binary (2 vs others),20,Monomer,16,16,100.0,16.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),20,Solvent,3,3,100.0,3.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),20,Biocide,21,20,95.23809523809523,19.0,0.0,1.0,1.0
Mutagenic,Binary (2 vs others),20,Odor_Agent,14,14,100.0,13.0,0.0,0.0,1.0
Mutagenic,Binary (2 vs others),20,Flame_retardant,2,2,100.0,2.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),20,Heat_stabilizer,5,4,80.0,4.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),20,Light_stabilizer,14,13,92.85714285714286,10.0,0.0,1.0,3.0
Mutagenic,Binary (2 vs others),20,Blowing_agent,3,2,66.66666666666666,2.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),20,Antistatic_agent,2,1,50.0,1.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),21,Antioxidant,16,14,87.5,13.0,1.0,1.0,1.0
Mutagenic,Binary (2 vs others),21,Light_stabilizer,16,14,87.5,12.0,1.0,1.0,2.0
Mutagenic,Binary (2 vs others),21,Other_Processing_Aids,64,49,76.5625,46.0,4.0,11.0,3.0
Mutagenic,Binary (2 vs others),21,Colorant,66,54,81.81818181818183,51.0,2.0,10.0,3.0
Mutagenic,Binary (2 vs others),21,Catalyst,21,16,76.19047619047619,15.0,1.0,4.0,1.0
Mutagenic,Binary (2 vs others),21,Initiator,9,6,66.66666666666666,5.0,1.0,2.0,1.0
